date,commodity,weeks,coverage_level,coverage_price,F,producer_prem,cme_put,gap,gap_pct,source
2026-06-22,feeder,13,0.75,304.3,366.5,0.159,0.1511,-0.0079,-0.003,backfill_yahoo
2026-06-22,feeder,13,0.8,324.58,366.5,0.331,0.8058,0.4748,0.146,backfill_yahoo
2026-06-22,feeder,13,0.85,344.87,366.5,0.845,3.2428,2.3978,0.695,backfill_yahoo
2026-06-22,feeder,13,0.9,355.01,366.5,1.333,5.8277,4.4947,1.266,backfill_yahoo
2026-06-22,feeder,13,0.95,375.3,366.5,3.651,15.4053,11.7543,3.132,backfill_yahoo
2026-06-22,feeder,13,1.0,397.61,366.5,9.993,32.4578,22.4648,5.65,backfill_yahoo
2026-06-22,feeder,17,0.75,302.16,364.23,0.317,0.3644,0.0474,0.016,backfill_yahoo
2026-06-22,feeder,17,0.8,322.3,364.23,0.72,1.3957,0.6757,0.21,backfill_yahoo
2026-06-22,feeder,17,0.85,342.45,364.23,1.641,4.3676,2.7266,0.796,backfill_yahoo
2026-06-22,feeder,17,0.9,352.52,364.23,2.501,7.1388,4.6378,1.316,backfill_yahoo
2026-06-22,feeder,17,0.95,372.66,364.23,5.707,16.5668,10.8598,2.914,backfill_yahoo
2026-06-22,feeder,17,1.0,394.82,364.23,12.896,32.7943,19.8983,5.04,backfill_yahoo
2026-06-22,feeder,21,0.75,299.44,361.63,0.525,0.6446,0.1196,0.04,backfill_yahoo
2026-06-22,feeder,21,0.8,319.41,361.63,1.127,2.0023,0.8753,0.274,backfill_yahoo
2026-06-22,feeder,21,0.85,339.37,361.63,2.39,5.3243,2.9343,0.865,backfill_yahoo
2026-06-22,feeder,21,0.9,349.35,361.63,3.53,8.1746,4.6446,1.33,backfill_yahoo
2026-06-22,feeder,21,0.95,369.31,361.63,7.166,17.3452,10.1792,2.756,backfill_yahoo
2026-06-22,feeder,21,1.0,391.27,361.63,14.606,32.8076,18.2016,4.652,backfill_yahoo
2026-06-22,feeder,26,0.75,295.77,358.18,0.843,1.0585,0.2155,0.073,backfill_yahoo
2026-06-22,feeder,26,0.8,315.49,358.18,1.697,2.7533,1.0563,0.335,backfill_yahoo
2026-06-22,feeder,26,0.85,335.21,358.18,3.39,6.3705,2.9805,0.889,backfill_yahoo
2026-06-22,feeder,26,0.9,345.07,358.18,4.676,9.2577,4.5817,1.328,backfill_yahoo
2026-06-22,feeder,26,0.95,364.78,358.18,9.076,18.0816,9.0056,2.469,backfill_yahoo
2026-06-22,feeder,26,1.0,386.47,358.18,17.167,32.7155,15.5485,4.023,backfill_yahoo
2026-06-22,feeder,30,0.75,294.36,355.54,1.13,1.5217,0.3917,0.133,backfill_yahoo
2026-06-22,feeder,30,0.8,313.98,355.54,2.141,3.5616,1.4206,0.452,backfill_yahoo
2026-06-22,feeder,30,0.85,333.61,355.54,4.018,7.5601,3.5421,1.062,backfill_yahoo
2026-06-22,feeder,30,0.9,343.42,355.54,5.384,10.5993,5.2153,1.519,backfill_yahoo
2026-06-22,feeder,30,0.95,363.04,355.54,9.896,19.6005,9.7045,2.673,backfill_yahoo
2026-06-22,feeder,30,1.0,384.63,355.54,17.841,34.0669,16.2259,4.219,backfill_yahoo
2026-06-22,feeder,34,0.75,292.5,353.81,1.313,1.9455,0.6325,0.216,backfill_yahoo
